Athaliana_TAIR10	Athaliana_TAIR10||AT2G20570.2, Athaliana_TAIR10||AT5G44190.1
Atrichopoda_v1.0	Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.96
Bdistachyon_v3.1	Bdistachyon_v3.1||Bradi1g43710.1, Bdistachyon_v3.1||Bradi2g08287.1
Csinensis_v1.1	Csinensis_v1.1||orange1.1g013528m
Gmax_Wm82.a4.v1	Gmax_Wm82.a4.v1||Glyma.06G289300.1, Gmax_Wm82.a4.v1||Glyma.12G117700.1, Gmax_Wm82.a4.v1||Glyma.12G206600.1, Gmax_Wm82.a4.v1||Glyma.13G294300.1
Mdomestica_v1.0	Mdomestica_v1.0||MDP0000225179, Mdomestica_v1.0||MDP0000304869, Mdomestica_v1.0||MDP0000526864, Mdomestica_v1.0||MDP0000863745
Osativa_v7.0	Osativa_v7.0||LOC_Os01g13740.1, Osativa_v7.0||LOC_Os06g24070.1
Ptrichocarpa_v4.1	Ptrichocarpa_v4.1||Potri.007G136901.1, Ptrichocarpa_v4.1||Potri.017G015800.2
Sbicolor_v3.1.1	Sbicolor_v3.1.1||Sobic.003G002600.1, Sbicolor_v3.1.1||Sobic.010G096300.1
Slycopersicum_ITAG3.2	Slycopersicum_ITAG3.2||Solyc07g053630.3.1, Slycopersicum_ITAG3.2||Solyc10g008160.3.1
Spolyrhiza_v2	Spolyrhiza_v2||Spipo26G0023800
Zmays_RefGen_V4	Zmays_RefGen_V4||Zm00001d039260_T002, Zmays_RefGen_V4||Zm00001d044785_T001
